"Maquinaria","Hardware","Software","CapacitacionP","EstudioMer","Ventas_anuales2014"
"Si","No","No","No","No",327000.0
"No","No","No","No","No",159555.0
"No","No","No","No","No",268698.0
"No","No","No","No","No",1.1592744E7
"No","No","Si","No","No",765229.0
"No","No","No","No","No",148815.0
"No","No","No","No","No",466270.0
"Si","Si","No","No","No",1285495.0
"No","No","No","No","No",240000.0
"No","No","No","No","No",119000.0
"No","No","No","No","No",502550.0
"No","No","No","No","No",636000.0
"Si","Si","No","No","No",791385.0
"No","No","No","No","No",44000.0
"No","No","No","No","No",1539484.0
"No","No","Si","Si","No",122498.0
"No","No","No","No","No",135330.0
"No","No","No","No","No",3059849.0
"Si","No","No","Si","No",789960.0
"No","No","No","No","No",400000.0
"Si","No","No","No","No",550263.0
"No","No","No","No","No",256252.0
"No","No","No","No","No",144000.0
"Si","No","No","No","No",338576.0
"No","No","No","No","No",1206701.0
"Si","No","No","No","No",169000.0
"No","No","No","No","No",128672.0
"Si","No","Si","No","No",909262.0
"No","No","No","No","No",210000.0
"No","No","No","No","No",1660082.0
"No","No","No","No","No",532180.0
"Si","Si","Si","Si","No",300000.0
"Si","No","Si","Si","No",800000.0
"No","No","No","No","No",1.9129851E7
"No","No","No","No","No",430000.0
"No","No","No","No","No",482888.0
"No","No","No","No","No",600000.0
"No","No","No","No","No",900000.0
"No","No","No","No","No",120573.0
"Si","No","No","No","No",508043.0
"No","No","Si","No","No",650000.0
"No","No","No","No","No",156000.0
"No","No","No","No","No",400932.0
"No","No","No","No","No",2328059.0
"No","No","No","No","No",1305640.0
"No","No","No","No","No",450000.0
"No","No","No","No","No",100000.0
"Si","No","No","Si","No",1312000.0
"No","No","No","Si","No",102000.0
"No","No","No","No","No",4176421.0
"No","No","No","No","No",93175.0
"No","No","No","No","No",3000900.0
"No","No","No","No","No",1000000.0
"No","No","No","No","No",83454.0
"No","No","No","No","No",500000.0
"No","No","No","No","No",421836.0
"No","No","No","No","No",917260.0
"No","No","No","Si","No",181975.0
"Si","No","No","Si","No",190000.0
"No","No","No","No","No",318205.0
"Si","No","No","No","No",649596.0
"No","No","No","No","No",125000.0
"No","No","No","No","No",120736.0
"No","No","No","No","No",1022592.0
"Si","No","No","No","No",1200000.0
"Si","No","No","No","No",241737.0
"No","No","No","No","No",32000.0
"No","No","No","No","No",292349.0
"No","No","No","No","No",136987.0
"No","No","No","No","No",395275.0
"No","No","No","No","No",119669.0
"No","No","No","No","No",1120000.0
"No","No","No","No","No",553066.0
"No","No","No","No","No",14691.0
"No","No","No","Si","No",3577250.0
"No","No","No","No","No",923026.0
"No","No","No","No","No",402188.0
"No","No","No","No","No",371325.0
"No","No","No","No","No",91000.0
"Si","Si","Si","Si","No",240000.0
"Si","No","No","No","No",45000.0
"No","No","No","No","No",600000.0
"Si","No","No","No","No",4500000.0
"Si","No","No","No","No",800000.0
"No","No","No","Si","Si",1500000.0
"Si","No","No","No","No",300000.0
"No","No","No","No","No",360000.0
"No","No","No","No","No",344065.0
"Si","No","No","No","No",2.4681368E7
"Si","No","No","No","No",1806695.0
"No","No","No","No","No",1053663.0
"No","No","No","Si","Si",2.18820065E8
"No","No","No","No","No",1.5E7
"Si","No","No","Si","No",6063737.0
"Si","Si","No","Si","No",95000.0
"Si","No","No","Si","No",2630106.0
